CC;CC_Label
3FN;RELAIS BOX FOR MOTORFAN
FVE;GEAR TRAIN
OO1;OTHER OIL PERIMETERS
CR1;COVER-CONTAINER
GCC;CAM BRKT BOLT
OP1;OIL PUMPS
FU1;UNIT
TE1;TUYAUX ET EMBOUTS REFROIDISSEMENT BATTERIE
OC1;OIL COOLERS
FGD;COVER-CONT
3FA;FRONT END MODULE
S24;IMMOBILYZER-CPM
SMO;INST OTHER (NMEX NON-GIP)
SMS;STEERING MEMBER (NMEX NON-GIP)
SB1;NON RNPO PARTS A1-B
SMI;INST (NMEX NON-GIP)
S25;KEYLESS REMOCON-CPM
S2X;SW -CPM
